Plant Number,Greenhouse Side,Tip-burn,Fresh Weight,Height,Width,Dry Weight,Botrytis,Class A,Class B,Class C
1,L,4,260.4,12.5,27,13.11,-,-,-,x
2,L,2,310.8,13,28,15.27,-,x,-,-
3,L,4,303.2,16,27,13.55,-,-,-,x
4,L,3,382.2,13,30,14.11,-,-,x,-
5,L,2,357.3,14.5,31,16.01,-,x,-,-
6,L,2,423.3,-,-,-,-,x,-,-
7,L,2,301.8,-,-,-,-,x,-,-
8,L,2,373.1,-,-,-,-,x,-,-
9,L,2,340.2,-,-,-,-,x,-,-
10,L,2,322.5,-,-,-,-,x,-,-
11,L,2,337.4,-,-,-,-,x,-,-
12,L,2,203.1,-,-,-,-,-,x,-
13,L,2,294.8,-,-,-,-,x,-,-
14,L,2,331.4,-,-,-,-,x,-,-
15,L,2,338.1,-,-,-,-,x,-,-
16,L,2,344,-,-,-,-,x,-,-
17,L,1,420.8,-,-,-,-,x,-,-
18,L,2,364.8,-,-,-,-,x,-,-
19,L,2,340.2,-,-,-,-,x,-,-
20,L,2,346.8,-,-,-,-,x,-,-
21,L,2,369.1,-,-,-,-,x,-,-
22,L,2,337.6,-,-,-,-,x,-,-
23,L,2,295.1,-,-,-,-,x,-,-
24,L,2,254.2,-,-,-,-,x,-,-
25,L,2,314.7,-,-,-,-,x,-,-
26,L,2,409.1,-,-,-,-,x,-,-
27,L,2,289.5,-,-,-,-,x,-,-
28,L,2,425.9,-,-,-,-,x,-,-
29,L,2,318.4,-,-,-,-,x,-,-
30,L,2,397.1,-,-,-,-,x,-,-
31,L,2,293.1,-,-,-,-,x,-,-
32,L,2,304.5,-,-,-,-,x,-,-
33,L,2,349.5,-,-,-,-,x,-,-
34,L,2,337,-,-,-,-,x,-,-
35,L,1,320.3,-,-,-,-,x,-,-
36,L,2,353,-,-,-,-,x,-,-
1,R,4,352.7,16.5,30,17.22,-,-,-,x
2,R,2,321.4,16,29,14.68,-,x,-,-
3,R,2,301.3,14.5,28,13.05,-,x,-,-
4,R,2,292.1,16,26,13.7,-,x,-,-
5,R,3,302.8,14.5,25,15.61,-,-,x,-
6,R,2,362.1,-,-,-,-,x,-,-
7,R,2,339,-,-,-,-,x,-,-
8,R,2,283.3,-,-,-,-,x,-,-
9,R,2,376.3,-,-,-,-,x,-,-
10,R,2,323.8,-,-,-,-,x,-,-
11,R,2,333.6,-,-,-,-,x,-,-
12,R,2,269,-,-,-,-,x,-,-
13,R,2,172.7,-,-,-,-,-,x,-
14,R,2,275.7,-,-,-,-,x,-,-
15,R,2,375.4,-,-,-,-,x,-,-
16,R,2,288.5,-,-,-,-,x,-,-
17,R,2,299.2,-,-,-,-,x,-,-
18,R,4,265.8,-,-,-,-,-,-,x
19,R,2,351.4,-,-,-,-,x,-,-
20,R,2,233,-,-,-,-,x,-,-
21,R,2,281.5,-,-,-,-,x,-,-
22,R,4,244.4,-,-,-,-,-,-,x
23,R,4,239.3,-,-,-,-,-,-,x
24,R,1,352.5,-,-,-,-,x,-,-
25,R,2,288.4,-,-,-,-,x,-,-
26,R,2,320.9,-,-,-,-,x,-,-
27,R,2,238.5,-,-,-,-,x,-,-
28,R,2,361,-,-,-,-,x,-,-
29,R,2,331.8,-,-,-,-,x,-,-
30,R,2,352.9,-,-,-,-,x,-,-
31,R,2,344,-,-,-,-,x,-,-
32,R,2,169.7,-,-,-,-,-,x,-
33,R,1,362,-,-,-,-,x,-,-
34,R,2,306.8,-,-,-,-,x,-,-
35,R,2,331.2,-,-,-,-,x,-,-
36,R,2,297.3,-,-,-,-,x,-,-
