Date,Plant Density
2/3/2022,90
2/4/2022,90
2/5/2022,90
2/6/2022,90
2/7/2022,90
2/8/2022,90
2/9/2022,90
2/10/2022,90
2/11/2022,90
2/12/2022,90
2/13/2022,90
2/14/2022,60
2/15/2022,60
2/16/2022,60
2/17/2022,60
2/18/2022,45
2/19/2022,45
2/20/2022,45
2/21/2022,30
2/22/2022,30
2/23/2022,30
2/24/2022,30
2/25/2022,30
2/26/2022,30
2/27/2022,30
2/28/2022,22.5
3/1/2022,22.5
3/2/2022,22.5
3/3/2022,22.5
3/4/2022,22.5
3/5/2022,22.5
3/6/2022,22.5
3/7/2022,22.5
3/8/2022,22.5
3/9/2022,22.5
3/10/2022,22.5
3/11/2022,18
3/12/2022,18
3/13/2022,18
3/14/2022,18
3/15/2022,18
