%Time,irr_PH,irr_EC,irr_NH4,irr_K,irr_Na,irr_Ca,irr_Mg,irr_Si,irr_NO3,irr_Cl,irr_SO4,irr_HCO3,irr_PO4,irr_Fe,irr_Mn,irr_Zn,irr_B,irr_Cu,irr_Mo,drain_PH,drain_EC,drain_NH4,drain_K,drain_Na,drain_Ca,drain_Mg,drain_Si,drain_NO3,drain_Cl,drain_SO4,drain_HCO3,drain_PO4,drain_Fe,drain_Mn,drain_Zn,drain_B,drain_Cu,drain_Mo
43836,5.2,4.1,1.1,14.9,0.3,9.1,4.7,0.09,21.5,5.3,7.8,0.09,2.6,19.3,13.1,4.1,38,0.7,0.44,6,4.4,0.09,15.8,0.4,10.6,5.7,0.09,20.5,6.3,10.6,0.6,2.7,22.2,10.3,5.1,45,0.8,0.47
43850,5.1,4.3,1.1,14.9,0.3,9.1,5.1,0.09,19.2,5.8,8.7,0.09,2.6,19.4,13.8,3.5,39,0.9,0.46,6.8,5,0.09,15.7,0.9,12.3,9.4,0.2,10.7,9.6,18.6,1.5,1,23,1.7,5.3,50,0.8,0.66
43864,5,3.8,1.2,14.1,0.3,7.8,4.5,0.09,16.9,5.1,7.4,0.09,2.3,18.9,15.2,3.6,95,0.7,0.35,6,5.6,0.09,16.3,0.9,16.5,11,0.4,19.3,10.4,19.8,0.6,2.7,15.9,2.7,5,95,0.6,0.44
43879,5.2,3.7,1.2,13.2,0.3,7.4,4.4,0.09,16.6,5,6.8,0.09,2.1,17.6,14.1,2.8,90,0.7,0.34,5.3,5.5,0.3,15.9,0.7,13.6,8.5,0.4,22.9,7.5,13.1,0.09,3.2,20.2,10.8,3.9,173,1,0.2
43893,4.9,3.3,1.1,9.5,0.3,7.8,3,0.01,18.4,2.2,3.8,0.1,3.06,24,25,2.8,58,0.6,0.3,4.9,4.6,0.3,9.7,0.7,14.2,6.1,0.53,27.5,2.6,7.5,0.3,5.06,34,22,5.2,110,0.9,0.2
43908,5.3,3.5,1.4,9.9,0.3,8.4,2.7,0.009,18.8,2.3,4,0.09,3.41,28,25,2.7,60,0.7,0.4,4.7,4.7,0.2,8.6,0.6,13.8,5.4,0.53,26.5,2.3,7.1,0.2,4.97,38,20,5.1,107,0.8,0.3
43921,5.3,3.5,1.6,9.7,0.3,8.1,2.8,0.02,19.8,2.3,4,0.09,3.32,26,23,2.7,59,0.7,0.4,4.3,5.3,0.8,12.1,0.6,14.7,5.7,0.5,31.5,2.9,7.5,0.2,5.51,47,27,5.2,107,0.8,0.1
43936,5.7,3.3,0.9,10.3,0.3,8.1,2.8,0.009,20.1,2.3,4.1,0.09,3.41,27,24,2.9,60,0.7,0.3,4.2,4.5,0.4,12.1,0.5,12.8,4.9,0.37,26.7,2.8,6.4,0.09,4.98,48,30,5.8,94,0.8,0.2
43951,6.20,3.70,1.30,14.20,0.30,9.20,2.40,0.01,20.70,0.80,6.10,0.40,3.18,27.00,13.00,4.30,34.00,0.60,0.40,5.40,3.60,0.90,13.10,0.30,8.10,3.10,0.01,17.80,4.20,5.80,0.20,2.17,31.00,22.00,6.50,42.00,1.00,0.60
43963,5.60,3.60,0.09,10.90,0.30,9.00,2.90,0.01,18.70,2.30,4.40,0.09,3.60,25.00,34.00,4.20,63.00,0.90,0.40,5.70,4.60,0.09,13.10,0.40,12.20,5.00,0.19,25.50,2.80,6.50,0.09,4.91,24.00,25.00,5.50,92.00,1.00,0.70
