%time,ProdA,ProdB,avg_nr_harvested_trusses,Truss development time ,Nr_fruits_ClassA,Weight_fruits_ClassA,Nr_fruits_ClassB,Weight_fruits_ClassB
43510, 0.32,0.0000,NaN,45,NaN,717,0,0
43880, 0.32,0.0022,1,45,NaN,964,0,0
43885, 0.72,0.0000,0.6,47,82,655,0,0
43889, 0.40,0.0000,1.2,48,199,1468,0,0
43894, 0.34,0.0000,0.3,49,45,361,0,0
43899, 0.49,0.0000,1.1,52,184,1398,0,0
43903, 0.37,0.0000,0.4,49,56,437,0,0
43908, 0.61,0.0000,0.9,54,134,1040,0,0
43913, 0.46,0.0000,0.9,53,138,1062.2,0,0
43917, 0.37,0.0000,0.9,50,144,1256,0,0
43922, 0.91,0.0008,2.5,48,313,2810,0,0
43927, 0.30,0.0000,0.6,47,40,420,0,0
43931, 0.17,0.0000,0.5,43,50,480,0,0
43936, 0.71,0.0000,1.0,47,137,1308,0,0
43941, 0.66,0.0000,0.7,48,116,1183,0,0
43945, 0.74,0.0000,1.2,46,201,2128,0,0
43950, 0.81,0.0000,1.1,44,204,2116,0,0
43955, 0.64,0.0000,1.3,45,170,1773,0,0
43959, 0.59,0.0000,0.8,44,82,793,0,0
43964, 0.68,0.0000,1.0,43,142,1308,0,0
43969, 0.89,0.0000,1.3,44,189,1708,0,0
43973, 0.78,0.0000,0.7,43,82,690,0,0
43977, 0.97,0.0000,1.1,41,98,936,0,0
43980, 1.05,0.0000,1.1,39,103,1127,0,0
