Date,Label,Stem length,Leaf number increase,Leaf length,Stem diameter,Number of flowering trusses,Distance between shoot tip and 1 st flowering truss,Remaining leaves,Leaf pruning,Crop height,Number of remaining trusses,Number of harvested trusses
2024-07-15,1,124.0,14,36,9.66,5,10.0,14,0,124.0,5,0
2024-07-15,2,112.0,15,32,8.62,5,11.0,15,0,112.0,5,0
2024-07-15,3,120.0,13,36,10.3,5,6.0,13,0,120.0,5,0
2024-07-15,4,117.0,16,32,9.07,5,11.0,16,0,117.0,5,0
2024-07-15,5,127.0,16,37,9.71,5,20.0,16,0,127.0,5,0
2024-07-15,6,118.0,15,33,11.43,5,14.0,15,0,118.0,5,0
2024-07-15,7,105.0,16,31,9.81,5,22.0,16,0,105.0,5,0
2024-07-15,8,119.0,18,34,9.32,5,6.0,18,0,119.0,5,0
2024-07-15,9,120.0,17,33,9.57,5,5.0,17,0,120.0,5,0
2024-07-15,10,116.0,16,30,9.01,5,12.0,16,0,116.0,5,0
2024-07-22,1,26.0,6,31,9.9,1,11.0,20,0,150.0,6,0
2024-07-22,2,27.0,5,34,9.77,1,25.0,20,0,139.0,6,0
2024-07-22,3,24.0,5,29,8.68,1,15.0,18,0,144.0,6,0
2024-07-22,4,24.0,6,33,9.28,1,18.0,22,0,141.0,6,0
2024-07-22,5,26.0,5,32,12.04,1,14.0,21,0,153.0,6,0
2024-07-22,6,33.0,5,33,8.2,1,15.0,20,0,151.0,6,0
2024-07-22,7,27.0,5,35,8.79,1,17.0,21,0,132.0,6,0
2024-07-22,8,24.0,6,32,9.0,1,21.0,24,0,143.0,6,0
2024-07-22,9,37.0,4,34,8.34,1,20.0,21,0,157.0,6,0
2024-07-22,10,27.0,3,29,11.27,1,22.0,19,0,143.0,6,0
2024-07-29,1,31.0,4,40,7.92,1,10.0,21,1,181.0,7,0
2024-07-29,2,26.0,4,34,9.39,1,17.0,21,1,165.0,7,0
2024-07-29,3,30.0,3,36,8.96,1,8.0,18,1,174.0,7,0
2024-07-29,4,28.0,4,38,9.82,1,6.0,23,1,169.0,7,0
2024-07-29,5,25.0,4,36,9.57,1,15.0,22,1,178.0,7,0
2024-07-29,6,28.0,5,31,9.44,1,7.0,22,1,179.0,7,0
2024-07-29,7,27.0,4,35,9.07,1,12.0,22,1,159.0,7,0
2024-07-29,8,27.0,4,28,10.82,1,17.0,25,1,170.0,7,0
2024-07-29,9,28.0,4,31,9.68,1,12.0,22,1,185.0,7,0
2024-07-29,10,33.0,5,32,8.54,1,17.0,21,1,176.0,7,0
2024-05-08,1,28.0,4,41,10.07,1,0.0,25,0,209.0,8,0
2024-05-08,2,29.0,4,26,9.05,2,1.0,25,0,194.0,9,0
2024-05-08,3,28.0,4,33,6.27,1,11.0,22,0,202.0,8,0
2024-05-08,4,29.0,2,38,13.27,1,15.0,25,0,198.0,8,0
2024-05-08,5,24.0,4,39,10.31,2,11.0,26,0,202.0,9,0
2024-05-08,6,32.0,3,29,10.07,1,14.0,25,0,211.0,8,0
2024-05-08,7,26.0,3,30,11.76,1,10.0,25,0,185.0,8,0
2024-05-08,8,29.0,3,33,8.5,2,21.0,28,0,199.0,9,0
2024-05-08,9,32.0,4,29,8.58,1,21.0,26,0,217.0,8,0
2024-05-08,10,26.0,4,30,9.1,2,10.0,25,0,202.0,9,0
2024-12-08,1,23.0,3,33,8.0,2,6.0,22,2,232.0,10,0
2024-12-08,2,29.0,2,33,9.61,2,5.0,21,2,223.0,11,0
2024-12-08,3,24.0,3,32,8.55,1,16.0,19,2,226.0,9,0
2024-12-08,4,25.0,5,32,8.59,1,13.0,24,2,223.0,9,0
2024-12-08,5,23.0,5,26,9.81,1,18.0,25,2,225.0,10,0
2024-12-08,6,23.0,5,32,7.13,2,8.0,24,2,234.0,10,0
2024-12-08,7,26.0,6,28,8.96,2,9.0,25,2,211.0,10,0
2024-12-08,8,25.0,4,32,7.95,1,15.0,26,2,224.0,10,0
2024-12-08,9,21.0,5,29,11.6,2,10.0,25,2,238.0,10,0
2024-12-08,10,25.0,4,26,8.38,1,18.0,23,2,227.0,10,0
2024-08-19,1,26.5,4,38,9.51,1,12.0,20,2,258.5,9,2
2024-08-19,2,29.0,5,30,8.06,1,6.0,20,2,252.0,10,2
2024-08-19,3,27.0,4,29,8.59,2,8.0,17,2,253.0,9,2
2024-08-19,4,29.0,4,34,8.13,2,11.0,22,2,252.0,9,2
2024-08-19,5,33.0,3,25,6.57,2,13.0,22,2,258.0,10,2
2024-08-19,6,28.0,3,26,7.82,1,6.0,21,2,262.0,9,2
2024-08-19,7,27.0,3,30,9.06,1,10.0,22,2,238.0,9,2
2024-08-19,8,26.0,4,28,7.03,2,10.0,24,2,250.0,10,2
2024-08-19,9,28.0,4,27,8.92,1,13.0,23,2,266.0,9,2
2024-08-19,10,28.0,4,30,9.22,2,9.0,21,2,255.0,10,2
2024-08-26,1,25.0,3,33,7.3,1,18.0,20,1,283.5,9,1
2024-08-26,2,23.0,3,30,6.9,1,12.0,20,1,275.0,10,1
2024-08-26,3,25.0,3,34,8.76,1,10.0,17,1,278.0,9,1
2024-08-26,4,23.0,3,32,6.71,1,14.0,22,1,275.0,9,1
2024-08-26,5,25.0,3,30,7.84,1,15.0,22,1,283.0,10,1
2024-08-26,6,25.0,3,32,6.83,1,17.0,21,1,287.0,9,1
2024-08-26,7,27.0,2,9,7.03,2,16.0,21,1,265.0,10,1
2024-08-26,8,25.0,3,31,6.93,1,17.0,24,1,275.0,10,1
2024-08-26,9,28.0,4,31,8.18,2,10.0,24,1,294.0,10,1
2024-08-26,10,27.0,3,24,7.94,1,16.0,21,1,282.0,10,1
2024-02-09,1,25.0,5,30,11.63,2,13.0,19,2,308.5,9,2
2024-02-09,2,26.0,4,31,8.31,2,11.0,18,2,301.0,10,2
2024-02-09,3,25.0,4,32,6.95,1,20.0,15,2,303.0,8,2
2024-02-09,4,27.0,4,29,6.99,1,23.0,20,2,302.0,8,2
2024-02-09,5,31.0,4,35,7.43,2,9.0,20,2,314.0,10,2
2024-02-09,6,24.0,4,27,8.81,2,12.0,19,2,311.0,9,2
2024-02-09,7,23.0,5,28,8.97,1,12.0,20,2,288.0,9,2
2024-02-09,8,22.0,5,30,7.1,2,9.0,23,2,297.0,10,2
2024-02-09,9,23.0,5,28,8.19,1,15.0,23,2,317.0,9,2
2024-02-09,10,18.0,5,26,7.12,1,12.0,20,2,300.0,9,2
2024-09-09,1,20.0,3,31,8.36,1,15.0,22,0,328.5,9,1
2024-09-09,2,24.0,3,29,7.01,1,15.0,21,0,325.0,10,1
2024-09-09,3,21.0,4,27,7.74,1,9.0,19,0,324.0,8,1
2024-09-09,4,20.0,4,31,8.78,1,9.0,24,0,322.0,8,1
2024-09-09,5,22.0,4,28,9.5,2,10.0,24,0,336.0,11,1
2024-09-09,6,18.0,3,18,6.48,2,5.0,22,0,329.0,10,1
2024-09-09,7,17.0,4,27,6.47,1,14.0,24,0,305.0,9,1
2024-09-09,8,18.0,3,25,8.45,1,9.0,26,0,315.0,10,1
2024-09-09,9,22.0,3,27,8.0,2,6.0,26,0,339.0,10,1
2024-09-09,10,15.0,3,21,8.43,2,5.0,23,0,315.0,10,1
2024-09-16,1,22.0,4,32,9.36,2,8.0,23,1,350.5,8,3
2024-09-16,2,27.0,5,28,7.5,2,8.0,23,1,352.0,9,3
2024-09-16,3,22.0,4,33,10.66,1,10.0,20,1,346.0,6,3
2024-09-16,4,25.0,4,30,8.81,2,5.0,25,1,347.0,7,3
2024-09-16,5,25.0,5,31,6.57,1,15.0,26,1,361.0,9,3
2024-09-16,6,24.0,3,25,8.04,1,10.0,22,1,353.0,8,3
2024-09-16,7,28.0,4,25,6.56,1,6.0,25,1,333.0,7,3
2024-09-16,8,23.0,4,25,6.33,1,12.0,27,1,338.0,8,3
2024-09-16,9,28.0,4,28,6.02,1,10.0,27,1,367.0,8,3
2024-09-16,10,29.0,5,24,6.04,1,12.0,25,1,344.0,8,3
2024-09-23,1,25.0,4,33,7.3,2,6.0,18,3,353.5,8,2
2024-09-23,2,30.0,4,29,6.77,2,5.0,18,3,355.0,9,2
2024-09-23,3,25.0,5,32,7.34,2,13.0,16,3,349.0,6,2
2024-09-23,4,26.0,4,27,10.0,1,13.0,20,3,348.0,6,2
2024-09-23,5,29.0,3,32,12.19,2,8.0,20,3,365.0,9,2
2024-09-23,6,29.0,4,34,6.7,2,6.0,17,3,358.0,8,2
2024-09-23,7,26.0,3,29,6.46,2,4.0,19,3,331.0,7,2
2024-09-23,8,27.0,4,23,6.1,2,6.0,22,3,342.0,8,2
2024-09-23,9,23.0,4,24,6.9,1,13.0,22,3,362.0,7,2
2024-09-23,10,26.0,4,25,6.32,2,9.0,20,3,341.0,8,2
2024-09-30,1,28.0,4,31,6.66,1,8.0,22,0,378.5,7,2
2024-09-30,2,26.0,4,26,7.24,1,11.0,22,0,378.0,8,2
2024-09-30,3,25.0,4,32,5.89,2,5.0,20,0,371.0,6,2
2024-09-30,4,32.0,4,29,7.54,2,6.0,24,0,379.0,6,2
2024-09-30,5,25.0,4,32,7.16,1,12.0,24,0,386.0,8,2
2024-09-30,6,26.0,5,24,7.21,2,5.0,22,0,379.0,8,2
2024-09-30,7,27.0,4,25,7.19,1,8.0,23,0,360.0,6,2
2024-09-30,8,22.0,4,29,7.92,1,9.0,26,0,360.0,7,2
2024-09-30,9,25.0,3,27,7.88,2,7.0,25,0,392.0,7,2
2024-09-30,10,25.0,4,22,7.66,1,11.0,24,0,369.0,7,2
2024-07-10,1,22.0,4,32,6.66,1,8.0,22,0,375.5,8,1
2024-07-10,2,27.0,4,31,7.47,1,15.0,22,0,382.0,9,1
2024-07-10,3,20.0,3,32,8.27,1,7.0,19,0,369.0,6,1
2024-07-10,4,21.0,3,27,7.38,1,7.0,23,0,369.0,6,1
2024-07-10,5,22.0,4,34,8.16,1,15.0,24,0,387.0,9,1
2024-07-10,6,22.0,3,24,7.33,1,8.0,20,0,380.0,8,1
2024-07-10,7,23.0,3,27,7.97,1,12.0,22,0,354.0,7,1
2024-07-10,8,22.0,4,25,8.43,1,12.0,26,0,364.0,8,1
2024-07-10,9,17.0,5,30,9.26,1,7.0,27,0,379.0,7,1
2024-07-10,10,21.0,3,27,7.41,1,14.0,23,0,362.0,8,1
2024-10-14,1,23.0,4,33,7.8,1,13.0,26,0,401.5,7,1
2024-10-14,2,23.0,3,29,7.64,2,5.0,25,0,401.0,9,1
2024-10-14,3,21.0,3,26,8.26,1,10.0,23,0,392.0,6,1
2024-10-14,4,22.0,3,28,9.96,1,8.0,27,0,401.0,6,1
2024-10-14,5,20.0,3,31,7.65,1,15.0,27,0,406.0,8,1
2024-10-14,6,20.0,4,26,10.31,1,8.0,26,0,399.0,8,1
2024-10-14,7,21.0,4,27,6.77,1,2.0,27,0,381.0,6,1
2024-10-14,8,18.0,4,28,7.53,1,12.0,30,0,378.0,7,1
2024-10-14,9,16.0,4,27,8.65,1,7.0,29,0,408.0,7,1
2024-10-14,10,19.0,3,23,5.69,1,13.0,27,0,388.0,7,1
2024-10-21,1,21.0,3,29,8.71,2,5.0,22,1,396.5,9,1
2024-10-21,2,22.0,4,27,9.75,2,3.0,23,1,404.0,10,1
2024-10-21,3,16.0,4,25,9.21,1,8.0,20,1,385.0,6,1
2024-10-21,4,21.0,4,27,8.89,1,8.0,24,1,390.0,6,1
2024-10-21,5,16.0,5,31,8.14,1,6.0,26,1,403.0,9,1
2024-10-21,6,19.0,3,21,7.96,1,9.0,20,1,399.0,8,1
2024-10-21,7,21.0,3,25,6.86,1,5.0,22,1,375.0,7,1
2024-10-21,8,20.0,3,25,6.36,2,3.0,26,1,384.0,9,1
2024-10-21,9,12.0,3,22,6.5,1,6.0,27,1,391.0,7,1
2024-10-21,10,19.0,3,24,5.59,2,2.0,23,1,381.0,9,1
2024-10-28,1,16.0,3,30,7.03,1,2.0,29,0,417.5,8,0
2024-10-28,2,20.0,4,24,7.58,1,5.0,29,0,421.0,10,0
2024-10-28,3,21.0,3,24,0.42,1,6.0,26,0,413.0,7,0
2024-10-28,4,18.0,3,20,7.81,2,3.0,30,0,419.0,8,0
2024-10-28,5,20.0,4,22,7.33,1,4.0,31,0,426.0,9,0
2024-10-28,6,22.0,3,23,7.42,1,9.0,29,0,421.0,9,0
2024-10-28,7,19.0,3,22,7.09,1,4.0,30,0,400.0,7,0
2024-10-28,8,14.0,3,20,7.18,0,,33,0,392.0,7,0
2024-10-28,9,16.0,3,24,7.08,1,3.0,32,0,424.0,8,0
2024-10-28,10,12.0,4,25,6.24,0,,31,0,400.0,7,0
